date,timestamp,pvPower,pv1Power,pv2Power,generationPower,feedinPower,gridConsumptionPower,loadsPower,meterPower,invTemperation,ambientTemperation,SoC,batChargePower,batDischargePower
2025-09-18,2025-09-18 00:01:31 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 00:04:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 00:09:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 00:13:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 00:18:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 00:22:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 00:25:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 00:30:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 00:33:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 00:36:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 00:39:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 00:43:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 00:46:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 00:51:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 00:55:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 01:00:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 01:04:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 01:07:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 01:10:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 01:15:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 01:18:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 01:22:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 01:25:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 01:28:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 01:31:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 01:34:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 01:39:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 01:43:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 01:48:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 01:51:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 01:55:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 02:00:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 02:03:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 02:07:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 02:10:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 02:13:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 02:16:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 02:21:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 02:24:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 02:27:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 02:30:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 02:33:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 02:37:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 02:40:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 02:43:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 02:46:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 02:49:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 02:54:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 02:58:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 03:01:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 03:06:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 03:10:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 03:13:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 03:18:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 03:21:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 03:24:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 03:27:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 03:31:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 03:34:32 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 03:39:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
2025-09-18,2025-09-18 03:42:02 PKT+0500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,0.0,0.0,0.0
